filename,label,pred,caption,n_tags,likes
39323085_2099349956997170_7102400964274946048_n.jpg,0,1,"Pav bhaji for the win😍😍🔥
What's your choice cheese pav bhaji or masala pav bhaji?❤️🔥
Tell me in the comments 🤗
_
Had these at jhakkas pav bhaji and both of them were really bad in taste😑 totally not worth the hype!
__
Tag all pav bhaji lovers 😍
__
Keep following @foodie_anshul for more updates ❤️
#foodie_anshul #cheesepavbhaji #pavbhaji #foodie
#vegetarian #snack #indianfood #food #foodporn #foodblogger #omnomnom #photography #photooftheday #foodvsco #vsco #foodstagram #vscocam #vsco_hub #follow4follow  #travelgram #instagram #igers  #followforfollow #instagood  #picoftheday #instagramers  #like4like #streetfood",28,1512
39269283_291368048323972_322767488079101952_n.jpg,0,1,Dinner time!!! Made some #pavbhaji #patra and #samosas 😋 #millerlite,4,22
39930985_281861379296682_7918240481870348288_n.jpg,0,1,"Perfect fondue for the chaat lover!♥
~Pav Bhaji Fondue~
⭐4/5⭐
Price-Rs320
#pavbhaji#fondue#fonduelovers#foodporn#foodie#foodforlife#goodfood#foodgasm#foodphotography#instalike#instafood#instagrammer",12,39
39336855_1791150287648722_8613791730874974208_n.jpg,1,0,"PAV BHAJI wala Mausam hai aaj Nagpur me 😍☔
.
Tag your bhukkad friend in the comments below 😄
.
Follow @thebhukkadgang_nagpur .
Turn on the post notification 🔔
.
#pavbhaji #monsoon #nagpurbase #mumbaifoodie #delhifood #kolkatafoodies #nagpurblogger #nagpur #nagpurphotography #nagpurian #nagpurdiaries #nagpuri #india #nagpurkar #mumbai #fashion #maharashtra #nagpurfoodies #pune #nagpur_boys_nd_girls_shoutout #mumbai_diaries #mumbaifoodie #maharashtra #mumbai #mumbai_igers #mumbai_uncensored #mumbaikar #itz_mumbai #mumbai_ig",26,802
39364470_1902502406721844_2064528442031865856_n.jpg,1,0,"A busy morning spent mostly on  drop off pick up duties, a quick and easy bhaaji ( veg curry) was prepared and served with burger buns  for lunch. #pavbhaji #thulping #lunchtime #vegetarian  #comfortfood #chicagohomecooks #vegetarianfoodshare  #cauliflower #homemadefood #homemade  #foodpics #indianfood #desikhana #lentils #gharkakhana #desifood #friyay #vegansofig #indianfoodie #veganfood #walkwithindia #chennaifoodie #plantbased #chicagogram #chicagoig #almostcleaneating #almosthealthy  #chicagohomecooks #hemaskitchn #homecooking",29,134
39147945_2279181265651491_3645554076042657792_n.jpg,1,0,"Utterly Butterly Delicious “Pav Bhaji” !! .
.
📸 - @
.
🌮 Follow @BhukkadPunekar & Be A Bhukkad..
.
🍿Tag Us & Get Featured Here
.
#pavbhaji #pune #punevadapav #bhukkadpunekar #drink #food #foodporn #eatme #feedme #punelife #pune #punefoodie #punefood #eater #dailyfoodfeed #eatfamous #punekar #foodbible #foodgasm #cheatmeal #instafood #whataleats #nom #yum #foodpics #foodstagram #foodie",26,261
38871469_893314274211508_8551498079264571392_n.jpg,1,0,"Pavbhaji with chopped onions,coriander leaves ,sprinkled with a lot of lime juice.just love to add a lot of butter.i just love to have it with soft buttery buns.
.
.
.
Follow @bipolar.blogger for amazing updates.
.
.
.
#chandigarhblogger#chandigarhfoodblogger#pavbhaji#delhistreetfood#mumbaiigers#indianstreetfood#zingyzest#dilsefoodie#trellingfood#indianfoodie#indianfoodblogger#grubzone#delhifoodwalks#foodtalkindia#sodelhi#fbai#dillifoodies#saadidilli#mumbaifoodies#heydelhi#foodmaniacindia#popxofeatures#crazyfood#instachandigarh#delhifoodguide#heartymeal#foodbloggersofinstagram",27,1437
39984429_1846730992083663_6110031740988817408_n.jpg,1,0,"The most delicious and intriguing dish that every indian household relish..Pav Bhaji..when you cook it on your own..this is like the best thing happens to my parents because now they won't cook for anymore..they are in the state of bliss 🤣🤣🤣
.
.
.
Snickers is love❤️❤️❤️
.
.
.
#pavbhaji #indianfood #foodporn #delhi #mumbai #food #foodie #yummy #like #mumbaifoodie #foodphotography #tasty #foodgasm #streetfood #desi #sodelhi #india #marathi #foodlover #delhidiaries #igers #delhifoodblogger #instafood #pune #snickers #bhaji #pav #jaipurfoodbloggers #jaipur #dubaifood",30,61
39364491_314794352431234_2370010872882921472_n.jpg,1,0,"Pav Bhaji💕
.
.
.
.
#pavbhaji #pavbhaji😋 #pavbhajifondue #foodpics #foodcoma #foodlove #foods #foodlover #foodswag #dinner #dinnerideas #dinner_time #dinner😋 #dinner_time #foody #snacks",13,18
38097205_2217996134909292_9222562121986867200_n.jpg,1,0,"PAV BHAJI 
#pavbhaji😋 #lipsmackinggood #yummy #mumbaipavbhaji #homecookedfood #loveforbutter #droolicious #pavbhaji #likesforlike #followforfollowback #samsungs8photography .
.
.
.
#foodphotography #instalike #instagram #foodpics #chennaifoodie #chennaifoodiesclub #chennaiblogger #chennaifoodblogger #chennaibloggersclub #chennai",20,14
39238605_2133945243539883_7666761084308553728_n.jpg,1,0,"Heer-Ranjha
Romeo-Juliet
Veer-Zara
Barish-Pav bhaji 🤪
.
.
This one from @dadussweet , Pune was such a treat. Hot spicy street style bhaji with easy to eat crisp cubes of Pav. And look at that butter, there is always loads of extra butter making bhaji heavenly ! .
.
Location: Dadu’s , Pune
.
.
#foodinsta #foodstyling #foodphotography #indianfoodbloggers #pune #foodlove #foodgasm #pavbhaji #foodgram #foodblogfeed #buzzfeast #instadaily #vada #instafood #foodie #eeeeeats #sopune #bhaji #instayum #foodphoto #dailyfoodfeed #f52grams #thelittlefatgirl #foodstagram
#bangaloreblogger #foodblogger",26,103
39075480_1917248621911223_8518237783804870656_n.jpg,1,0,"Today's recipe is Bombay Pav Bhaji. This is an old post on the blog which is updated with new images. Do check it out. Bombay pav bhaji is made with mashed potatoes and mashed vegetables. It is served with pav/bread. This pav bhaji is a popular street food in India. Some people make it in homes for breakfast and snacks too.
.
.
.
.
.
#rakshaskitchen #devourpower #forkyeah #forkfeed #ahealthynut #soulfood #foods4thought #foodtalkindia #foodcoma #foodmaniacindia #foodmagazine #eattherainbow #eatgood #sodelicious #desifood #desikhana #foodiesofinstagram #eatingfortheinsta #foodporn #streetfood #indianfood #indianfoodblogger #yummyfood #pavbhaji #darlingdaily #nutritiousanddelicious #onmyplate #tasteofsoul #homemade #healthycuisines",30,200
39269283_2158679977738732_7473738893179748352_n.jpg,1,0,"Regrann from @khana_bazaar
Sorted with amazing food like this heavenly buttery pav bhaji 👌🏽😍
.
This is from @kumarpavbhaji, Krishna Nagar 🤗
.
Follow @khana_bazaar 
@khana_bazaar 
@punjabi.bhukkad 
@punjabi.bhukkad 
#pavbhaji #bhaji #breakfast #brunch #mumbai #mumbaifoodie #mumbaifood #butter #food #food52 #foodporn #f52grams #desi #instafood #instagram #instafood #india #foodphotography #delhigram #delhi_igers #delhifoodie #breakfast #goodeats #buzzfeedfood #happy #love #munching #khaopiyoaishkaro",26,27
39272025_2153941688192795_485868643511435264_n.jpg,1,0,"Are you the guy who love spicy street food.. choose and share your fav ones a) vada pav b) pav bhaji..
😋😋😋😋
Follow us @simplytadka ....
....
#pavbhaji #streetfood #instagood #instafood #likeforlikes #like4likes #foodtalkindia #foodstyling #food #foodblogging #foodshots #delhigram #delhifood #delhifoodblogger #simplytadka #delhifoodie #delhi_foodie #delhi_igers #delhidiaries #foodlovers #foodphotography #foodism #foodgram #food52 #foodmaniacindia #foodstagram #foodstylist",27,59
39386882_459308197911710_3125957024290963456_n.jpg,1,0,"#MonsoonCraving

Are you travelling on #Pune - #Ahmednagar highway?
Take a break at Smile Stone to enjoy garama garam...tasty...delicious Pav Bhaji and celebrate your monsoon journey!

#SmileStone #Pune #Ahmednagar #Highway #Restaurant #monsoon #menu #PavBhaji #journey #happiness #food #lunch #dinner #travel #love #taste #leisure #fun #garden #shopping #Aurangabad #Shirdi #Ajanta #Ellora #Maharashtra #India",27,14
39400565_2145822319073330_7701035855338536960_n.jpg,1,0,#sunday#rakshabandhan#family#gettogether#foodmodeon#pavbhaji#indiansfood#mixveggies#tomatoes#potatoes#capsicum#cauliflower#peas#redchillipaste#buns#corriander#butterly#spicy#tasty#food#foodie#foodporn#foodstagram#foodgasm#foodism#foodphotography#@mumbaifoodie @indian_fast_food @fast_food_zapata,26,51
38996712_287330688528627_8253448231053164544_n.jpg,1,0,"Pav Bhaji For evening snacking today 😍😍😍 Totally loved this Pav bhaji ❤👌👌
@vicinito
.
.
#foodiesince96 .
.
#vicinito
.
.
#pavbhaji #indianfood #foodporn #delhi #mumbai #food #foodie #yummy #like #mumbaifoodie #foodphotography #tasty #foodgasm #streetfood #desi #sodelhi #india #marathi #foodlover #delhidiaries  #delhifoodblogger #instafood #pune #misalpav #marathination",27,827
40079356_1885195074881323_6720283706839269376_n.jpg,1,0,"Pav Bhaji for the Lunch wali bhookh😍😍
We loved the food here❤
..
Inki presentation alag thi, ye to hmne khud bna li😂😂
..
Tag your friends jinke sath ap ye khaana chahte ho🤩
Ya fir tag your bhai/behen jinke sath aj rakhi pe ghumne ja rhe ho🙈🙈
..
#pavbhaji #lunchtime #lunch #eatingfortheinsta #eatfamous #foodforthought #indianfoodbloggers #instafood #foodies #delhigram #love #TFLers #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look #instalike #igers #picoftheday #food #instadaily #instafollow #followme #girl #iphoneonly",29,1309
39330460_450059662167972_1583410715249606656_n.jpg,1,0,"The worst pav bhaji i ever had at kumar pav bhaji it was too blend no flavours 😑. Big disappointed how can they serve me this 😭😭😭😭😭
.
.
Where i can get good pav bhaji ? 
#dilsefoodie #love #TFLers #pavbhaji #photooftheday #20likes #amazing #smile #like4like #look #instalike #picoftheday #food #instadaily #instafollow #followme #instagood #bestoftheday #instacool #instago",20,11474
38989714_335159500360068_1581850095932932096_n.jpg,1,0,"Regrann from @v_for_veggie -  My Version of 'Cheesy Pav Bhaji'❤️💯 If you wanna Have it, Comment AWESOME. Tag your college friends😊😊
.
Who Wants to Have this.. Iss Baarish ke mausam mein😍😍😍
.
Follow @v_for_veggie.
@v_for_veggie.
@v_for_veggie.
@v_for_veggie.
@v_for_veggie.
.
#Picoftheday #Like4like #likesforlikes #sodelhi  #desi #mumbaikar #indianfood #platter #delhi_igers #iphone #dfordelhi #eeeeeats #delhigram #foodaholic #foodblogger #indian #delhidiaries #foodphotography #foodporn #foodcoma #foodtalkindia #instafood #soulfood #foodshot
#delhi #vforveggie #mumbaifoodie #mumbaifood #pavbhaji",29,34
